Compound Name,SMILES,RT,Adj. RT,Abs Error
CP 47 497,CCCCCCC(C)(C)c1ccc([C@@H]2CCC[C@H](O)C2)c(O)c1,9.513,8.16,1.353
Phoxime,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,9.523,8.19,1.333
JWH-018 pentanoic acid,O=C(O)CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,9.543,10.176,0.633
Digitoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,9.6,8.543,1.057
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,9.603,8.001,1.602
Bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,9.646,9.742,0.096
Profenophos,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,9.662,9.029,0.633
THC-COOH,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C(=O)O)=C[C@@H]21,9.679,8.412,1.267
Azinphos-ethyl,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,9.688,8.69,0.998
Fenvalerate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,9.688,11.474,1.786
Chlorpyriphos-methyl,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,9.69,8.662,1.028
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,9.69,10.649,0.959
Trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],9.737,8.324,1.413
Reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,9.74,9.71,0.03
Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,9.741,8.515,1.226
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,9.744,9.014,0.73
Prochloraz,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,9.758,8.829,0.929
Trifloxystrobin,CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1,9.766,9.605,0.161
Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],9.781,8.157,1.624
Fluroxypyr-1-methylheptylester,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,9.786,7.929,1.857
Buprofezin,CC(C)N1C(=O)N(c2ccccc2)CS/C1=N/C(C)(C)C,9.823,8.446,1.377
Meclozine,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,9.846,9.989,0.143
Prazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,9.861,8.523,1.338
Exemestane,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,9.862,8.35,1.512
Bromophos-methyl,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,9.865,9.065,0.8
Pirimiphos ethyl,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,9.871,9.675,0.196
Acetyldigitoxin,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,9.877,9.678,0.199
Indoxacarb,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,9.915,10.049,0.134
Flufenoxuron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F,9.936,10.672,0.736
Lopinavir,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,9.942,11.794,1.852
Desethylamiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,9.945,9.741,0.204
Difenoconazole,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,9.954,10.731,0.777
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,9.956,9.987,0.031
Bifenox,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],9.958,9.147,0.811
Pyraclostrobine,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,9.987,9.385,0.602
Suriclone,CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,10.021,9.263,0.758
Cannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,10.058,10.073,0.015
Benzoximate,CCON=C(OC(=O)c1ccccc1)c1c(OC)ccc(Cl)c1OC,10.06,9.362,0.698
Difenacoum,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,10.07,11.815,1.745
Amcinonide,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,10.073,10.49,0.417
Econazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,10.076,10.073,0.003
Alpidem,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,10.132,9.983,0.149
Dialifos,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,10.152,10.232,0.08
Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,10.181,10.324,0.143
Chlorpyriphos-ethyl,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,10.194,10.08,0.114
Quizalofop ethyl,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,10.233,10.325,0.092
THC,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,10.251,9.265,0.986
Spiromesifen,Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1,10.251,10.67,0.419
Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,10.257,11.677,1.42
Bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,10.294,9.233,1.061
Pyriproxyfen,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,10.3,9.533,0.767
Pyrazophos,CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,10.312,9.999,0.313
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,10.322,9.926,0.396
Bromophos ethyl,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,10.349,9.926,0.423
Spinosad,CCC1CCCC(OC2CCC(N(C)C)C(C)O2)[C@@H](C)C(=O)C2=CC3[C@@H]4CC(OC5OC(C)C(OC)C(OC)C5OC)CC4C=C[C@H]3[C@@H]2CC(=O)O1,10.359,12.009,1.65
Coumaphos,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,10.369,9.987,0.382
Carbophenothion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,10.388,10.269,0.119
Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,10.447,8.955,1.492
Chlorthiophos,CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl,10.449,10.599,0.15
Prothiophos,CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,10.455,9.924,0.531
Cortivazol,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,10.469,10.826,0.357
Miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,10.472,11.389,0.917
Chlormadinone acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,10.484,9.862,0.622
Spirodiclofen,CCC(C)(C)C(=O)OC1=C(c2cc(Cl)cc(Cl)c2)C(=O)OC12CCCCC2,10.485,11.056,0.571
Dioxathion,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,10.494,10.978,0.484
Acrinathrin,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,10.501,10.613,0.112
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,10.513,9.132,1.381
Fenpropathrin,CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,10.519,9.683,0.836
JWH-203,CCCCCn1cc(C(=O)Cc2ccccc2Cl)c2ccccc21,10.521,9.212,1.309
JWH-250,CCCCCn1cc(C(=O)Cc2ccccc2OC)c2ccccc21,10.541,8.7,1.841
Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,10.577,11.405,0.828
Beclometazone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,10.581,10.233,0.348
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,10.585,9.392,1.193
Propaquizafop,CC(C)=NOCCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,10.608,10.783,0.175
Canrenone,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,10.675,9.478,1.197
JWH-015,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,10.677,10.08,0.597
Milbemectin A4,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,10.736,10.769,0.033
Atovaquone,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,10.77,9.674,1.096
Fluvalinate,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,10.789,12.094,1.305
Fenpyroximate,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,10.829,9.694,1.135
AM 2201,O=C(c1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,10.849,8.956,1.893
Phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,10.852,9.068,1.784
Bifenthrin,Cc1c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,10.914,10.121,0.793
JWH-073,CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,10.926,9.206,1.72
Pyridaben,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,10.934,9.482,1.452
Esfenvalerate,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,10.946,11.016,0.07
Pyridate,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,10.977,10.84,0.137
JWH-007,CCCCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,11.092,10.595,0.497
JWH-018,CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,11.105,9.68,1.425
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,11.155,11.257,0.102
JWH-019,CCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,11.202,10.154,1.048
JWH-122,CCCCCn1cc(C(=O)c2ccc(C)c3ccccc23)c2ccccc21,11.255,9.635,1.62
JWH-020,CCCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,11.285,10.628,0.657
JWH-210,CCCCCn1cc(C(=O)c2ccc(CC)c3ccccc23)c2ccccc21,11.359,10.228,1.131
